Episode Number,Episode Title,Guest Name,Buzzsprout Episode ID,Recommended Buzzsprout Tags,Top Keyword,Top Keyword Volume,Top Keyword Difficulty,Buzzsprout Update Status,Analysis Date
23,Good People Are Quietly Quitting And Your Company Is the Reason,Carly Caminiti,18943117,"employee engagement strategies, employee retention strategy, leadership development, organizational culture, quiet quitting, toxic workplace culture, employee disengagement, how to retain employees, CEO advice, AI leadership, workplace culture, leadership mistakes",employee engagement strategies,15000,14,Submitted,2026-04-01
22,AI Leadership & Operational Reality,MarKeisha Snaith,18904643,"AI leadership, healthcare leadership, AI governance, AI implementation, organizational culture, digital transformation healthcare, enterprise AI strategy, leadership alignment, strategic communication, responsible AI in healthcare, healthcare innovation, organizational change",organizational culture,9500,32,Submitted,2026-04-01
21,Healthcare Innovation & Caregiver Leadership,Amanda Roser,18866774,"caregiver support, caregiver burnout, healthcare leadership, healthcare innovation, patient outcomes, patient experience, care delivery, human-centered AI, AI in healthcare, digital health, health equity, digital transformation healthcare",caregiver support,5700,61,Submitted,2026-04-01
20,AI Regulation in ER & Clinical Judgment,Dr. Natasha Dole,18839920,"emergency medicine, AI in emergency medicine, clinical AI, clinical judgment, clinical decision support, physician trust, AI governance, AI regulation, healthcare AI, responsible AI in healthcare, digital health, human-in-the-loop AI",emergency medicine,5300,24,Submitted,2026-04-01
19,Enterprise AI Journey: Agentic AI Generative AI & Data Foundations,Gary Cao,18780186,"agentic AI, generative AI healthcare, enterprise AI strategy, AI maturity model, data governance, data foundations, AI adoption strategy, AI implementation, healthcare AI, responsible AI in healthcare, data infrastructure, digital transformation healthcare",agentic AI,88000,77,Submitted,2026-04-01
18,AI Strategy to Execution & Ethical Leadership,Brian Sutherland,18746141,"AI strategy, AI implementation, AI ROI, AI leadership, healthcare leadership, leadership alignment, enterprise AI strategy, organizational change, AI adoption strategy, responsible AI in healthcare, AI governance, digital transformation healthcare",AI ROI,600,38,Submitted,2026-04-01
17,Why AI Verification is the Real Bottleneck in Pharmaceutical Drug Discovery,David Finkelshteyn,18694624,"AI drug discovery, pharmaceutical AI, drug discovery AI, life sciences AI, AI verification, clinical trial AI, regulatory AI, AI governance, responsible AI in healthcare, pharmaceutical innovation, drug validation, AI implementation",AI drug discovery,1200,65,Submitted,2026-04-01
16,Cybersecurity & Ethical Leadership in Healthcare AI Governance,Guman Chauhan,18658645,"healthcare cybersecurity, cybersecurity AI, AI security, AI risk management, cybersecurity governance, ethical leadership, AI governance, healthcare data protection, responsible AI in healthcare, AI ethics, enterprise AI, data security",AI risk management,3000,71,Submitted,2026-04-01
15,Healthcare Leadership: Balancing AI Human Judgment & Clinical Trust,Dr. Mark Gendreau,18621405,"emergency medicine, clinical decision support, clinical AI, clinical judgment, physician trust, AI in emergency medicine, human-in-the-loop AI, healthcare AI, responsible AI in healthcare, healthcare leadership, digital health, AI governance",emergency medicine,5300,24,Submitted,2026-04-01
14,AI Healthcare Leadership & Strategy: From Hype to Real Value,Parth Gargish,18580403,"AI ROI, AI maturity model, enterprise AI strategy, AI hype vs reality, AI implementation, healthcare AI, digital health, responsible AI in healthcare, AI governance, AI adoption strategy, leadership development, measurable AI outcomes",leadership development,15000,42,Submitted,2026-04-01
13,Healthcare AI & Leadership Challenges with Medical Records,Aleida Lanza,18545151,"EHR data quality, medical records, clinical documentation, data completeness, data quality AI, healthcare data management, data governance framework, clinical AI, healthcare AI, AI implementation, data infrastructure, responsible AI in healthcare",data governance framework,4100,22,Submitted,2026-04-01
12,Ethical AI and Leadership in Healthcare,Asha Mahesh,18500676,"AI ethics, ethical AI, responsible AI in healthcare, ethical leadership, AI fairness, AI accountability, AI governance, healthcare leadership, data ethics, AI transparency, responsible data, community impact AI",AI ethics,4700,72,Submitted,2026-04-01
11,Data Governance & Trust Infrastructure for Healthcare AI,Amit Shivpuja,18464077,"data governance framework, data lineage, data governance, trust infrastructure, AI transparency, AI accountability, enterprise AI, data quality AI, enterprise data, responsible AI in healthcare, AI enablement, data infrastructure",data lineage,5100,30,Submitted,2026-04-01
10,Healthcare AI Security Risks and Leadership Challenges,Anitha Mareedu,18436527,"healthcare cybersecurity, cybersecurity AI, AI security, AI risk management, cybersecurity governance, data security, healthcare data protection, national security AI, AI governance, enterprise AI, responsible AI in healthcare, cybersecurity strategy",cybersecurity AI,1200,68,Submitted,2026-04-01
9,AI Explainability Algorithmic Bias & Human-in-the-Loop Design,Keshavan Seshadri,18401916,"AI explainability, AI bias, algorithmic bias, human-in-the-loop AI, responsible AI in healthcare, AI transparency, ethical AI, AI governance, AI accountability, model transparency, AI fairness, data governance",AI bias,2800,62,Submitted,2026-04-01
8,Leadership Challenges: AI and Language Access in Healthcare,Carol Velandia,18372783,"health equity, language access, health disparities, medical interpretation, patient safety, healthcare equity, AI limitations, AI ethics, responsible AI in healthcare, patient experience, healthcare leadership, clinical AI",health equity,229000,55,Submitted,2026-04-01
7,Human-Centered AI Governance & Leadership in Healthcare,Susie Brannigan,18329464,"AI governance, data governance framework, human-centered AI, ethical AI, responsible AI in healthcare, clinical accountability, AI transparency, healthcare leadership, healthcare innovation, stakeholder engagement, AI governance framework, AI ethics",data governance framework,4100,22,Submitted,2026-04-01
6,Data Quality & AI Strategy for Healthcare Leaders,Danette McGilvray,18290640,"data quality AI, data governance framework, generative AI healthcare, data governance, data integrity, data readiness, healthcare data management, responsible AI in healthcare, AI strategy, AI implementation, healthcare leadership, AI data quality",data governance framework,4100,22,Submitted,2026-04-01
5,Tailoring AI Strategy for Healthcare Leaders,Ritu Chakrawarty,18254252,"AI strategy, AI maturity model, AI adoption strategy, healthcare analytics, enterprise AI strategy, organizational readiness, data maturity, data governance framework, healthcare leadership, AI implementation, responsible AI in healthcare, digital transformation healthcare",data governance framework,4100,22,Submitted,2026-04-01
4,The Human-AI Leadership Equation in Healthcare,Larry Kuhn,18216015,"AI leadership, leadership development, executive leadership, human-in-the-loop AI, AI workforce management, enterprise AI strategy, organizational change, AI governance, healthcare leadership, responsible AI in healthcare, leadership competency, digital transformation healthcare",leadership development,15000,42,Submitted,2026-04-01
3,Healthcare Leadership for Data Readiness & AI Adoption,Ratnadeep Bhattacharjee,18181175,"data governance framework, data readiness, AI readiness, healthcare data strategy, data infrastructure, healthcare analytics, AI adoption strategy, AI implementation, data quality AI, healthcare leadership, responsible AI in healthcare, organizational readiness",data governance framework,4100,22,Submitted,2026-04-01
2,Redefining Patient-Physician Journey with AI Leadership (Part 2),Dr. Barry Chaiken,18135260,"data interoperability, clinical decision support, clinical workflows, healthcare delivery, AI governance, data governance framework, healthcare technology, digital transformation healthcare, AI implementation, patient outcomes, responsible AI in healthcare, clinical AI",data governance framework,4100,22,Submitted,2026-04-01
1,Redefining Patient-Physician Journey with AI Leadership (Part 1),Dr. Barry Chaiken,18135232,"clinical AI, clinical decision support, AI in healthcare, physician trust, patient physician relationship, clinical workflows, healthcare AI adoption, AI governance, healthcare leadership, healthcare technology, responsible AI in healthcare, digital health",clinical AI,700,60,Submitted,2026-04-01
